Turn,Person A,Person B,4k steps,14k steps,25k steps,Movie
1,"You said he was in danger. I said ""grave danger""? You said...",I recall what I said.,yes .,i said yes .,well i didn t say it .,A Few Good Men
2,I could have the court reporter read back to you...,"I know what I said! I don't have to have it read back to me, like I'm...",what ?,yeah well that s good .,no !,A Few Good Men
3,Then why the two orders? Colonel?,Sometimes men take matters into their own hands.,i don t know .,guess . . .,because . . .c .,A Few Good Men
4,"No, sir. You made it clear just a moment ago that your men never take matters into their own hands. Your men follow orders or people die. So Greg shouldn't have been in any danger at all, should he have, Colonel?","You snotty, little bastard.",no .,my father . what is that ?,yeah . i want it .,A Few Good Men
5,Did you order the Code Red?,I did the job that—,what ?,what happened ?,oh no !,A Few Good Men
6,Did you order the Code Red?!!,YOU'RE GODDAMN RIGHT I DID!!,what ?,what van ?,what did you say ?,A Few Good Men
7,What was your response?,I told her I would not grant one.,i don t know .,we re awaiting a decision excuse me .,we re awaiting a decision .,The Shawshank Redemption
8,What happened after you discussed with your wife?,She packed a bag... she packed a bag to go stay with Mr. Miller.,what ? ,huh ?,what ?,The Shawshank Redemption
9,"Smith, golf pro at the Country Club, the man who you had recently discovered was your wife's lover. Did you follow her?","I went to a few bars first. Later, I drove to his house to faced them. They weren't home, so I parked in the garage, and waited.",yeah .,nothing .,her life is wrong .,The Shawshank Redemption
10,With what intention?,"I'm not sure. I was confused... drunk. I think, mostly I wanted to scare them.",the crucifix .,the evil guy .,the doctor shall open .,The Shawshank Redemption
